Current package,Decision,Target,Notes
common.bus,KEEP,common.bus,Bus contracts and simple in-process dispatch are shared technical primitives.
common.event,KEEP,common.event,Keep DomainEvent/DomainEventPublisher and MVP Spring publisher; no concrete business events.
common.tx,KEEP,common.tx,AfterCommit and transaction helpers.
common.stereotype,KEEP,common.stereotype,Annotations such as UseCase/TchTx.
common.types.id,KEEP,common.types.id,Keep simple UUID wrappers for now; no business behavior.
common.types.money,KEEP,common.types.money,Money/CurrencyCode/Percent primitives.
common.types.time,KEEP,common.types.time,DateRange/TimeWindow primitives.
common.time,KEEP,common.time,Clock/timezone/date helper policy.
common.context,KEEP_PARTIAL,common.context,Keep context contracts/binding; no domain validation.
common.context.web,KEEP_PARTIAL,common.context.web,Keep canonical HTTP context filter/resolver if accepted as common web infra.
common.context.tenant,KEEP_PARTIAL,common.context.tenant,Keep interface only; implementations/loaders may move.
common.context.operational,KEEP_PARTIAL,common.context.operational,Operational claim/hint only; validation belongs in core owners.
common.web.api,KEEP,common.web.api,Stable HTTP response contract.
common.web.advice,KEEP,common.web.advice,ResponseBodyAdvice and response context are shared web infra.
common.web.error,KEEP,common.web.error,ProblemRest/generic error helpers.
common.web.paging,KEEP,common.web.paging,TchPage/TchPaging abstractions/resolver.
common.web.converter,KEEP,common.web.converter,Typed ID converters if IDs stay in common.
common.web.config,MOVE,app.config.datarest or catalog/platform config,DataRestConfig is runtime config not common.
common.json,KEEP_PARTIAL,common.json,Keep typed ID Jackson support; move generic runtime holders if too app-specific.
common.json.converter,REVIEW,common.web.converter or remove duplicates,There are duplicate typed ID converters under json and web.
common.mapper,KEEP,common.mapper,CommonIdMapper only.
common.job.annotation,KEEP,common.job.annotation,TchJob marker annotation.
common.job.key,KEEP_PARTIAL,common.job.key,JobKey OK; BatchJobKeys may be app/job runtime constants.
common.job.exception,KEEP_PARTIAL,common.job.exception,Keep generic exceptions; domain/runtime-specific exceptions move.
common.job.params,KEEP_PARTIAL,common.job.params,Keep pure Java keys/reader; move validator and Spring Batch dependencies.
common.batch.gate,MOVE,app.batch.gate or platform.job,Runtime gate/flag store/cache resolver.
common.batch.launch,MOVE,app.batch.launch,Spring Batch launcher uses JobOperator/ApplicationContext.
common.batch.service,MOVE,app.batch.notification or platform.notification/communication,Notification policy/service is application/platform behavior.
common.cache,KEEP_PARTIAL,common.cache,Keep CacheSpec/Provider/KeyBuilder; move Redis/Caffeine runtime configs/managers if heavy.
common.client.http,MOVE,app.config.http or owning platform/core infra,WebClient/RestClient factories are external client runtime config.
common.constant,REVIEW_AND_SPLIT,various,Keep only technical constants; move security claims/headers if better in context/security/web.
common.persistence,KEEP_PARTIAL,common.persistence,Keep approved shared base/converters/RLS only; move runtime config.
common.persistence.config,MOVE,app.config.persistence,Datasource/JPA runtime config.
common.persistence.rls,KEEP_PARTIAL,common.persistence.rls,May stay as low-level RLS bridge if no app assembly logic.
common.persistence.audit,REVIEW,common.persistence or platform.audit,Entity listener may stay only if purely technical; functional audit goes platform.audit.
common.security,KEEP_PARTIAL,common.security,ApiScope/Auth extraction maybe; Permissions/constants move to platform.accesscontrol/domains.
common.selection,MOVE,catalog.game or core.sales/drawresult/limitpolicy,Selection canonicalization is business/game vocabulary.
common.types.codes,REVIEW,catalog/core/common,LocaleCode may stay; SelectionKey likely moves with selection.
common.types.enums,MOVE_MOSTLY,owning core/catalog/platform APIs,Business enums should not stay in common.
common.util,REVIEW_AND_SPLIT,various,Hashing may stay; JsonSchema/Role utils move.
